Statename,State,FIPS,COUNTY,checker,plumbing,total,rank
Alaska,AK,2050,Bethel Census Area,"Bethel Census Area, Alaska",39.215,4307,1
Alaska,AK,2290,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, Alaska",38.913,2061,2
Alaska,AK,2270,Wade Hampton Census Area,"Wade Hampton Census Area, Alaska",35.798,1704,3
Alaska,AK,2188,Northwest Arctic Borough,"Northwest Arctic Borough, Alaska",20.437,1830,4
Alaska,AK,2180,Nome Census Area,"Nome Census Area, Alaska",20.382,2772,5
Alaska,AK,2164,Lake and Peninsula Borough,"Lake and Peninsula Borough, Alaska",17.368,570,6
Arizona,AZ,4001,Apache County,"Apache County, Arizona",17.315,19035,7
South Dakota,SD,46113,Shannon County,"Shannon County, South Dakota",14.281,2829,8
Alaska,AK,2105,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, Alaska",13.413,999,9
Alaska,AK,2185,North Slope Borough,"North Slope Borough, Alaska",12.607,1991,10
Alaska,AK,2240,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, Alaska",12.458,2400,11
Alaska,AK,2070,Dillingham Census Area,"Dillingham Census Area, Alaska",12.144,1334,12
New Mexico,NM,35031,McKinley County,"McKinley County, New Mexico",11.525,17518,13
Alaska,AK,2100,Haines Borough,"Haines Borough, Alaska",11.414,1139,14
Alaska,AK,2282,Yakutat City and Borough,"Yakutat City and Borough, Alaska",9.653,259,15
Alaska,AK,2068,Denali Borough,"Denali Borough, Alaska",9.484,717,16
Utah,UT,49037,San Juan County,"San Juan County, Utah",8.068,4152,17
Indiana,IN,18001,Adams County,"Adams County, Indiana",7.900,12317,18
Arizona,AZ,4017,Navajo County,"Navajo County, Arizona",7.471,34867,19
Alaska,AK,2261,Valdez-Cordova Census Area,"Valdez-Cordova Census Area, Alaska",6.638,3706,20
Alaska,AK,2122,Kenai Peninsula Borough,"Kenai Peninsula Borough, Alaska",6.410,21964,21
Alaska,AK,2198,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, Alaska",6.198,2291,22
Alaska,AK,2090,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",6.088,35740,23
Alaska,AK,2275,Wrangell City and Borough Census Area,"Wrangell City and Borough Census Area, Alaska",5.776,1160,24
Minnesota,MN,27029,Clearwater County,"Clearwater County, Minnesota",5.414,3639,25
Idaho,ID,16015,Boise County,"Boise County, Idaho",5.373,2978,26
Arkansas,AR,5101,Newton County,"Newton County, Arkansas",5.253,3560,27
New Mexico,NM,35057,Torrance County,"Torrance County, New Mexico",5.131,5574,28
New Mexico,NM,35033,Mora County,"Mora County, New Mexico",5.000,1700,29
New Mexico,NM,35006,Cibola County,"Cibola County, New Mexico",4.859,8027,30
Alaska,AK,2170,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",4.369,30923,31
Wisconsin,WI,55123,Vernon County,"Vernon County, Wisconsin",4.277,11737,32
Colorado,CO,8055,Huerfano County,"Huerfano County, Colorado",4.052,3134,33
Alabama,AL,1035,Conecuh County,"Conecuh County, Alabama",4.017,4879,34
Alaska,AK,2016,Aleutians West Census Area,"Aleutians West Census Area, Alaska",3.935,991,35
Kentucky,KY,21131,Leslie County,"Leslie County, Kentucky",3.892,4317,36
North Dakota,ND,38087,Slope County,"Slope County, North Dakota",3.819,288,37
Tennessee,TN,47067,Hancock County,"Hancock County, Tennessee",3.773,2889,38
Arkansas,AR,5039,Dallas County,"Dallas County, Arkansas",3.772,3128,39
Montana,MT,30065,Musselshell County,"Musselshell County, Montana",3.754,1971,40
Arizona,AZ,4005,Coconino County,"Coconino County, Arizona",3.718,45718,41
Nevada,NV,32009,Esmeralda County,"Esmeralda County, Nevada",3.696,514,42
Georgia,GA,13007,Baker County,"Baker County, Georgia",3.689,1464,43
Nevada,NV,32011,Eureka County,"Eureka County, Nevada",3.667,709,44
Montana,MT,30069,Petroleum County,"Petroleum County, Montana",3.629,248,45
Minnesota,MN,27031,Cook County,"Cook County, Minnesota",3.536,2630,46
Texas,TX,48131,Duval County,"Duval County, Texas",3.513,3843,47
Tennessee,TN,47153,Sequatchie County,"Sequatchie County, Tennessee",3.441,5493,48
Montana,MT,30051,Liberty County,"Liberty County, Montana",3.424,847,49
New Mexico,NM,35055,Taos County,"Taos County, New Mexico",3.395,13373,50
Georgia,GA,13065,Clinch County,"Clinch County, Georgia",3.356,2592,51
Kentucky,KY,21189,Owsley County,"Owsley County, Kentucky",3.350,1642,52
Texas,TX,48043,Brewster County,"Brewster County, Texas",3.337,4106,53
Oklahoma,OK,40011,Blaine County,"Blaine County, Oklahoma",3.312,4016,54
Montana,MT,30103,Treasure County,"Treasure County, Montana",3.274,336,55
Kansas,KS,20107,Linn County,"Linn County, Kansas",3.274,4246,56
New Mexico,NM,35045,San Juan County,"San Juan County, New Mexico",3.199,41791,57
Georgia,GA,13243,Randolph County,"Randolph County, Georgia",3.177,2833,58
Texas,TX,48505,Zapata County,"Zapata County, Texas",3.144,4357,59
Montana,MT,30073,Pondera County,"Pondera County, Montana",3.126,2303,60
Missouri,MO,29075,Gentry County,"Gentry County, Missouri",3.126,2751,61
North Dakota,ND,38033,Golden Valley County,"Golden Valley County, North Dakota",3.121,737,62
Louisiana,LA,22069,Natchitoches Parish,"Natchitoches Parish, Louisiana",3.116,15116,63
Missouri,MO,29225,Webster County,"Webster County, Missouri",3.112,12822,64
Texas,TX,48323,Maverick County,"Maverick County, Texas",3.088,15448,65
Wisconsin,WI,55081,Monroe County,"Monroe County, Wisconsin",3.061,17444,66
Missouri,MO,29141,Morgan County,"Morgan County, Missouri",3.057,8243,67
West Virginia,WV,54063,Monroe County,"Monroe County, West Virginia",3.028,5614,68
Texas,TX,48283,La Salle County,"La Salle County, Texas",3.025,1884,69
Virginia,VA,51105,Lee County,"Lee County, Virginia",3.008,9841,70
Wisconsin,WI,55051,Iron County,"Iron County, Wisconsin",2.997,3003,71
West Virginia,WV,54007,Braxton County,"Braxton County, West Virginia",2.996,6009,72
Arkansas,AR,5137,Stone County,"Stone County, Arkansas",2.995,5276,73
Idaho,ID,16017,Bonner County,"Bonner County, Idaho",2.969,17886,74
Kentucky,KY,21197,Powell County,"Powell County, Kentucky",2.929,4678,75
Kentucky,KY,21201,Robertson County,"Robertson County, Kentucky",2.913,824,76
Kentucky,KY,21057,Cumberland County,"Cumberland County, Kentucky",2.879,2605,77
Texas,TX,48031,Blanco County,"Blanco County, Texas",2.875,4104,78
New Mexico,NM,35003,Catron County,"Catron County, New Mexico",2.855,1681,79
Virginia,VA,51125,Nelson County,"Nelson County, Virginia",2.853,6415,80
Colorado,CO,8021,Conejos County,"Conejos County, Colorado",2.837,3137,81
Colorado,CO,8023,Costilla County,"Costilla County, Colorado",2.821,1418,82
South Dakota,SD,46121,Todd County,"Todd County, South Dakota",2.817,2662,83
Wisconsin,WI,55099,Price County,"Price County, Wisconsin",2.816,6890,84
Montana,MT,30053,Lincoln County,"Lincoln County, Montana",2.798,8971,85
Texas,TX,48507,Zavala County,"Zavala County, Texas",2.783,3557,86
Idaho,ID,16009,Benewah County,"Benewah County, Idaho",2.764,3762,87
Georgia,GA,13017,Ben Hill County,"Ben Hill County, Georgia",2.742,6383,88
Oklahoma,OK,40077,Latimer County,"Latimer County, Oklahoma",2.723,4224,89
Washington,WA,53047,Okanogan County,"Okanogan County, Washington",2.713,15740,90
Wisconsin,WI,55053,Jackson County,"Jackson County, Wisconsin",2.706,8167,91
Montana,MT,30039,Granite County,"Granite County, Montana",2.690,1487,92
Wisconsin,WI,55019,Clark County,"Clark County, Wisconsin",2.675,13083,93
South Dakota,SD,46031,Corson County,"Corson County, South Dakota",2.663,1164,94
Nebraska,NE,31003,Antelope County,"Antelope County, Nebraska",2.645,2836,95
Colorado,CO,8011,Bent County,"Bent County, Colorado",2.640,1932,96
Texas,TX,48317,Martin County,"Martin County, Texas",2.613,1531,97
South Dakota,SD,46047,Fall River County,"Fall River County, South Dakota",2.605,3110,98
New Mexico,NM,35039,Rio Arriba County,"Rio Arriba County, New Mexico",2.600,14959,99
Mississippi,MS,28065,Jefferson Davis County,"Jefferson Davis County, Mississippi",2.597,4851,100
Missouri,MO,29179,Reynolds County,"Reynolds County, Missouri",2.586,2746,101
Oregon,OR,41037,Lake County,"Lake County, Oregon",2.580,3566,102
Texas,TX,48249,Jim Wells County,"Jim Wells County, Texas",2.568,13515,103
Idaho,ID,16021,Boundary County,"Boundary County, Idaho",2.565,4093,104
Colorado,CO,8095,Phillips County,"Phillips County, Colorado",2.556,1643,105
Texas,TX,48319,Mason County,"Mason County, Texas",2.544,1690,106
Tennessee,TN,47027,Clay County,"Clay County, Tennessee",2.524,3289,107
Montana,MT,30059,Meagher County,"Meagher County, Montana",2.479,726,108
Arkansas,AR,5135,Sharp County,"Sharp County, Arkansas",2.477,7064,109
Texas,TX,48133,Eastland County,"Eastland County, Texas",2.477,7145,110
Virginia,VA,51169,Scott County,"Scott County, Virginia",2.477,9610,111
West Virginia,WV,54071,Pendleton County,"Pendleton County, West Virginia",2.474,3355,112
Washington,WA,53019,Ferry County,"Ferry County, Washington",2.468,2877,113
Texas,TX,48109,Culberson County,"Culberson County, Texas",2.459,854,114
Alaska,AK,2195,Petersburg Census Area,"Petersburg Census Area, Alaska",2.454,1671,115
Georgia,GA,13011,Banks County,"Banks County, Georgia",2.403,6783,116
Mississippi,MS,28143,Tunica County,"Tunica County, Mississippi",2.401,4081,117
Washington,WA,53055,San Juan County,"San Juan County, Washington",2.373,7963,118
Georgia,GA,13315,Wilcox County,"Wilcox County, Georgia",2.371,2657,119
California,CA,6075,San Francisco County,"San Francisco County, California",2.369,340839,120
Texas,TX,48457,Tyler County,"Tyler County, Texas",2.360,8179,121
Arizona,AZ,4007,Gila County,"Gila County, Arizona",2.356,20245,122
Kentucky,KY,21181,Nicholas County,"Nicholas County, Kentucky",2.343,2731,123
Georgia,GA,13249,Schley County,"Schley County, Georgia",2.340,1752,124
Arkansas,AR,5087,Madison County,"Madison County, Arkansas",2.340,6069,125
Pennsylvania,PA,42063,Indiana County,"Indiana County, Pennsylvania",2.329,34483,126
Texas,TX,48215,Hidalgo County,"Hidalgo County, Texas",2.328,214396,127
Colorado,CO,8109,Saguache County,"Saguache County, Colorado",2.311,2726,128
Hawaii,HI,15001,Hawaii County,"Hawaii County, Hawaii",2.303,64556,129
South Dakota,SD,46057,Hamlin County,"Hamlin County, South Dakota",2.294,2049,130
Nebraska,NE,31087,Hitchcock County,"Hitchcock County, Nebraska",2.286,1356,131
Kentucky,KY,21233,Webster County,"Webster County, Kentucky",2.282,4995,132
Alaska,AK,2230,Skagway Municipality Census Area,"Skagway Municipality Census Area, Alaska",2.278,395,133
Minnesota,MN,27045,Fillmore County,"Fillmore County, Minnesota",2.264,8525,134
Pennsylvania,PA,42087,Mifflin County,"Mifflin County, Pennsylvania",2.264,18952,135
